title,game_url,active,visits,creator,universe_id,checked_at_utc
[DUNGEONS] +1 Fireball Per Click🔥,https://www.roblox.com/games/70615222709505/,772,253135,-- Zombie Studios --,10594427721,2026-09-20 22:29
Cut it Out!,https://www.roblox.com/games/97248134864084/,762,242447,party fun games.,10765764482,2026-09-20 22:29
Escape Logs for Animals!,https://www.roblox.com/games/128014543028490/,759,427370,Egg Egg!,10764686084,2026-09-20 22:29
Voxels,https://www.roblox.com/games/131008689120486/,755,327959,Cubic World,10181950864,2026-09-20 22:29
Escape Verity Tower [Pets UPD],https://www.roblox.com/games/112304051613702/,703,241095,NotGigaDev,10622929847,2026-09-20 22:29
Build a Nuke Farm ☢️,https://www.roblox.com/games/114066978876453/,700,306037,Brain Trip Studio,10522766429,2026-09-20 22:29
Automate a Laundromat,https://www.roblox.com/games/131432651632697/,679,236455,Laundromat Studios,10749726746,2026-09-20 22:29
Climb for Eggs!,https://www.roblox.com/games/84376037812256/,678,479486,5ccu games,10764888929,2026-09-20 22:29
Motorcycle for Animals,https://www.roblox.com/games/84403204002907/,666,275429,Best Animal Productions!,10765032875,2026-09-20 22:29
Spin a Car And Race! 🏎️,https://www.roblox.com/games/111646117342507/,664,222118,Team Skylimit,10714697542,2026-09-20 22:29
Open Sea For Animals!,https://www.roblox.com/games/88047783411976/,636,143588,xFrozen x Dudes,10765091041,2026-09-20 22:29
Steal Anime Eggs,https://www.roblox.com/games/96727061242653/,623,424346,And Collect Insane Animes,10759478428,2026-09-20 22:29
Climb Spiderman Tower,https://www.roblox.com/games/115910629437639/,603,411301,Locked In Towers,10737378435,2026-09-20 22:29
Lucky Blocks: Emeralds,https://www.roblox.com/games/107906968179284/,597,286837,Smart Money X,10764776086,2026-09-20 22:29
Very Mysterious ,https://www.roblox.com/games/101721995709835/,585,312616,Winng3447,10766498029,2026-09-20 22:29
[⚔️ARENA] Re:Zero Incremental,https://www.roblox.com/games/127685019935711/,584,155342,Leviath,10625729731,2026-09-20 22:29
[RELEASE] Shigaku,https://www.roblox.com/games/109329896664198/,572,135956,(私学 ) Shigaku,10504918958,2026-09-20 22:29
[UPDATE!] Komorebi Prison,https://www.roblox.com/games/71689406215487/,564,316902,Komorebi RP,10420832668,2026-09-20 22:29
🤣 FUNNY,https://www.roblox.com/games/103996671305366/,564,145192,MMH Games,10594248153,2026-09-20 22:29
[UPDATE4] Light Incremental,https://www.roblox.com/games/125918020848095/,537,107990,martineetje,10638229453,2026-09-20 22:29
👻 GHOST,https://www.roblox.com/games/131332844566932/,535,199858,MMH Productions,10632455589,2026-09-20 22:29
[FREE] ChinaSide Tycoon,https://www.roblox.com/games/88793580588296/,534,323143,Goyboy Games,10764967952,2026-09-20 22:29
Build a Monster,https://www.roblox.com/games/76918534417394/,532,245241,Oddbit Games,8746130045,2026-09-20 22:29
Grow or Die🌱,https://www.roblox.com/games/99221606291080/,530,139019,thesamazing_man,10764302574,2026-09-20 22:29
[💰] +1 Dollar Per Step!,https://www.roblox.com/games/99936777258801/,528,259626,Totally BaIanced Games,10034443892,2026-09-20 22:29
+1 Clean Leaves Adventure ,https://www.roblox.com/games/131338475518866/,521,479096,Leaf Cleaning Crew,10764314029,2026-09-20 22:29
🍀 LUCKY,https://www.roblox.com/games/92238874599007/,519,158666,MMH Games,10589156970,2026-09-20 22:29
+1 Fat for Loot🍔,https://www.roblox.com/games/104037817505797/,516,146756,Fat League,10501377339,2026-09-20 22:29
Feed The Demon! [Incremental],https://www.roblox.com/games/134082194687128/,510,127992,Raiser Top,10698594028,2026-09-20 22:29
ALPHA: Vampire life,https://www.roblox.com/games/122287678911982/,493,126343,dutdk,10764019529,2026-09-20 22:29
☠️ TOXIC,https://www.roblox.com/games/85590147952233/,492,260416,MMH Games,10544363995,2026-09-20 22:29
[🏨 FLOOR 4] Build a Hotel,https://www.roblox.com/games/123997124815203/,489,194320,not a motel,10552149446,2026-09-20 22:29
🐾CAT NOIR PRISON RUN! (Obby),https://www.roblox.com/games/114098976096649/,487,432253,SIX SEVEN GAME STUDIO,10759300136,2026-09-20 22:29
Clean The Boxes!,https://www.roblox.com/games/70817056344069/,479,395923,boxy studios.,10399399120,2026-09-20 22:29
Ragdoll Fight Test,https://www.roblox.com/games/118076264732721/,471,285124,BOOOM_LIGHT,10228253162,2026-09-20 22:29
Superhero VS Planets,https://www.roblox.com/games/139007560205086/,463,98715,Games Down - Revenge,10765203776,2026-09-20 22:29
+1 Mini Army Evolution,https://www.roblox.com/games/93844566395151/,453,337744,Elite Commander Studios,10764167841,2026-09-20 22:29
[UPD 3 🧬] Catch Pets!,https://www.roblox.com/games/97488283857717/,452,351326,LoopBlox Games,10547832877,2026-09-20 22:29
[UPD 🗼] My Floating Isles,https://www.roblox.com/games/108480725212443/,449,344402,another fish studio,9404521781,2026-09-20 22:29
Run a Store 🛍️,https://www.roblox.com/games/101492228611271/,432,394857,Aisle Eleven,10546004662,2026-09-20 22:29
🐧ESCAPE GUGUGAGA PENGUIN SCHOOL (Obby),https://www.roblox.com/games/121016879604626/,428,404409,#AXIOM,10764508944,2026-09-20 22:29
Bee Game Reworked,https://www.roblox.com/games/113444583090218/,417,62311,BSS - Reworked Community.,10767024642,2026-09-20 22:29
+1 Jump Prison Escape,https://www.roblox.com/games/124940573400568/,409,279049,Be Diao VII,10645097363,2026-09-20 22:29
[🕹️] Claw for Brainrots!,https://www.roblox.com/games/112695927640139/,408,249346,Just 1 more minute,10662545106,2026-09-20 22:29
