priority_score,tier,new_this_run,title,game_url,has_discord,discord_url,discord_server,discord_members,discord_online,active,peak_active_seen,visits,visits_growth_per_day,favorites,likes,dislikes,like_ratio,heat_active_per_1k_visits,age_days,created,last_updated,creator_type,creator_name,creator_url,group_members,owner_name,owner_url,youtube,tiktok,twitter_x,twitch,instagram,other_links,genre,max_players,universe_id,place_id,found_via,checked_at_utc

1135,1-BEST (MUST BUY),NEW,+1 Chop Trees for Treasure,https://www.roblox.com/games/110730550789828/,,,,,,116,116,16573,,700,11,5,68.8,7.0,11,2026-08-24,2026-09-04,Group,ArcHaven,https://www.roblox.com/groups/874625030,593497,Geodneyz,https://www.roblox.com/users/804882130/profile,,,,,,,All,15,10759430423,110730550789828,search:chop,2026-09-05 13:09

1129,1-BEST (MUST BUY),NEW,[🚗] Punch Lucky Blocks For Cars!,https://www.roblox.com/games/131911637331495/,,,,,,120,120,20753,,357,38,7,84.4,5.78,13,2026-08-22,2026-09-04,Group,Rot Brothers,https://www.roblox.com/groups/350051376,2644,YuLovex,https://www.roblox.com/users/547707800/profile,,,,,,,All,6,10754231978,131911637331495,search:punch battlegrounds,2026-09-05 13:04

1129,1-BEST (MUST BUY),NEW,+1 Loot To Forge,https://www.roblox.com/games/118805555015549/,,,,,,178,178,30993,,1882,59,2,96.7,5.74,24,2026-08-12,2026-09-05,Group,Good Bro Studio,https://www.roblox.com/groups/828376264,5090,CandySnow18,https://www.roblox.com/users/7058882480/profile,,,,,,,All,8,10684750879,118805555015549,search:loot,2026-09-05 13:09

1127,1-BEST (MUST BUY),NEW,Magnet Fishing 🧲,https://www.roblox.com/games/83717725495693/,,,,,,188,188,35246,,925,54,19,74.0,5.33,25,2026-08-11,2026-09-05,Group,Magnet Fishing: 519,https://www.roblox.com/groups/1012569219,81,ahmedluai22,https://www.roblox.com/users/13929414/profile,,,,,,,All,8,10679441410,83717725495693,search:fishing frontier,2026-09-05 13:05

1126,1-BEST (MUST BUY),NEW,Swing For Eggs,https://www.roblox.com/games/109203247742910/,,,,,,125,125,24041,,1409,56,14,80.0,5.2,8,2026-08-27,2026-09-05,Group,faderanat's spiders,https://www.roblox.com/groups/964523081,3436,faderanat,https://www.roblox.com/users/2298224959/profile,,,,,,,All,6,10763764817,109203247742910,search:eggs,2026-09-05 13:07

1122,1-BEST (MUST BUY),NEW,+1 Mog Evolution,https://www.roblox.com/games/92648272637932/,,,,,,124,124,28182,,461,353,13,96.4,4.4,5,2026-08-30,2026-09-04,Group,Navoj Mog,https://www.roblox.com/groups/426881025,621,Techvast,https://www.roblox.com/users/1447614618/profile,,,,,,,All,12,10764479526,92648272637932,search:evolution,2026-09-05 13:08

1120,1-BEST (MUST BUY),NEW,😰 TAKE IT MODDED 😀 INFS OWNER PANEL! (SAEE),https://www.roblox.com/games/87531258970120/,,,,,,110,110,27744,,2568,316,13,96.0,3.96,4,2026-09-01,2026-09-01,Group,Gragnano Italia STUDIOS,https://www.roblox.com/groups/930641689,151427,LavaBrainrot_games,https://www.roblox.com/users/10395547141/profile,,,,,,,All,7,10764694411,87531258970120,creator:Group:930641689,2026-09-05 13:10

1119,1-BEST (MUST BUY),NEW,🎣  How to Catch Fish,https://www.roblox.com/games/116781904441020/,,,,,,119,119,31476,,60,9,10,47.4,3.78,9,2026-08-26,2026-09-05,Group,Fish Gang Be Fishin,https://www.roblox.com/groups/322191605,11,BladianMC,https://www.roblox.com/users/660123971/profile,,,,,,,All,12,10762546555,116781904441020,search:catch a,2026-09-05 13:02

1119,1-BEST (MUST BUY),NEW,🌈 SAEZ with ADMINS PANEL x888m MODDEDS 🤑,https://www.roblox.com/games/78092712332606/,,,,,,140,140,36725,,3646,278,15,94.9,3.81,4,2026-09-01,2026-09-01,Group,Gragnano Italia STUDIOS,https://www.roblox.com/groups/930641689,151427,LavaBrainrot_games,https://www.roblox.com/users/10395547141/profile,,,,,,,All,7,10764694390,78092712332606,creator:Group:930641689,2026-09-05 13:10

1116,1-BEST (MUST BUY),NEW,[UPD 🎩] Train a Fish Fighter 🐟,https://www.roblox.com/games/135318247691553/,,,,,,107,107,33471,,219,64,29,68.8,3.2,25,2026-08-11,2026-09-05,Group,another fish studio,https://www.roblox.com/groups/15015023,1725,Modas28,https://www.roblox.com/users/3700216142/profile,,,,,,,All,8,10680132879,135318247691553,search:🐟,2026-09-05 13:06

1116,1-BEST (MUST BUY),NEW,[UPDATE] Collect The Flags ,https://www.roblox.com/games/82004366420941/,,,,,,115,115,36472,,742,39,27,59.1,3.15,14,2026-08-22,2026-09-05,Group,Marv Marv,https://www.roblox.com/groups/895277058,3157,Marveccio,https://www.roblox.com/users/9325971766/profile,,,,,,,All,6,10750983677,82004366420941,search:capture the flag,2026-09-05 13:07

1116,1-BEST (MUST BUY),NEW,Choose the Stronger Anime!,https://www.roblox.com/games/111801263516291/,,,,,,118,118,37298,,171,74,39,65.5,3.16,11,2026-08-24,2026-09-05,Group,Epic Party Games!,https://www.roblox.com/groups/797650200,7132,DankifyPlayz,https://www.roblox.com/users/1716305660/profile,,,,,,,All,30,10759594563,111801263516291,search:overpowered,2026-09-05 13:09

1114,1-BEST (MUST BUY),NEW,🕸️Cart Ride Into Spiderman!,https://www.roblox.com/games/83111831297040/,,,,,,106,106,39130,,3928,19,11,63.3,2.71,15,2026-08-21,2026-09-05,User,BilboBloodAxe,https://www.roblox.com/users/22989985/profile,,BilboBloodAxe,https://www.roblox.com/users/22989985/profile,,,,,,,All,20,10747911114,83111831297040,search:cart ride,2026-09-05 13:09

1038,1-BEST (MUST BUY),NEW,🗣️ ENGLISH OR SPANISH,https://www.roblox.com/games/123540622480082/,,,,,,216,216,28433,,1271,2,7,22.2,7.6,35,2026-07-31,2026-09-02,Group,MMH Games,https://www.roblox.com/groups/35271531,5804,MurderMysteryHub,https://www.roblox.com/users/7643231675/profile,,,,,,,All,12,10605099109,123540622480082,creator:Group:35271531,2026-09-05 13:10

1036,1-BEST (MUST BUY),NEW,[😈] EVIL Ascension,https://www.roblox.com/games/114285878045610/,,,,,,165,165,23031,,105,35,8,81.4,7.16,44,2026-07-22,2026-09-05,Group,Evolune,https://www.roblox.com/groups/134986516,751,XX_bannanaboiXX,https://www.roblox.com/users/2063687494/profile,,,,,,,All,14,10548415830,114285878045610,search:😈,2026-09-05 13:06

1036,1-BEST (MUST BUY),NEW,My PC Store 🖥️ ,https://www.roblox.com/games/124383051659240/,,,,,,173,173,24322,,153,86,23,78.9,7.11,75,2026-06-21,2026-09-05,Group,Parallax Studio.,https://www.roblox.com/groups/855081453,4808,ScriptedAsync,https://www.roblox.com/users/702184164/profile,,,,,,,All,6,10371266739,124383051659240,search:store,2026-09-05 13:08

